2026-04-14 18:22:09 | User LOGIN
2026-04-14 18:22:09 | Student added
2026-04-14 18:22:09 | Student updated
2026-04-14 18:22:09 | ERROR: wrong data
2026-04-14 18:22:15 | User LOGIN
2026-04-14 18:22:15 | Student added
2026-04-14 18:22:15 | Student updated
2026-04-14 18:22:15 | ERROR: wrong data
2026-04-27 11:18:58 | User LOGIN
2026-04-27 11:18:58 | Student added
2026-04-27 11:18:58 | Student updated
2026-04-27 11:18:58 | ERROR: wrong data
2026-04-27 11:20:21 | User LOGIN
2026-04-27 11:20:21 | Student added
2026-04-27 11:20:21 | Student updated
2026-04-27 11:20:21 | ERROR: wrong data
